"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","1990",1.281057,
"AUS","EXCH","TOT","NATUSD","A","1991",1.283756,
"AUS","EXCH","TOT","NATUSD","A","1992",1.361648,
"AUS","EXCH","TOT","NATUSD","A","1993",1.47056,
"AUS","EXCH","TOT","NATUSD","A","1994",1.367751,
"AUS","EXCH","TOT","NATUSD","A","1995",1.349033,
"AUS","EXCH","TOT","NATUSD","A","1996",1.277863,
"AUS","EXCH","TOT","NATUSD","A","1997",1.34738,
"AUS","EXCH","TOT","NATUSD","A","1998",1.591828,
"AUS","EXCH","TOT","NATUSD","A","1999",1.54995,
"AUS","EXCH","TOT","NATUSD","A","2000",1.724827,
"AUS","EXCH","TOT","NATUSD","A","2001",1.933443,
"AUS","EXCH","TOT","NATUSD","A","2002",1.840563,
"AUS","EXCH","TOT","NATUSD","A","2003",1.541914,
"AUS","EXCH","TOT","NATUSD","A","2004",1.359752,
"AUS","EXCH","TOT","NATUSD","A","2005",1.309473,
"AUS","EXCH","TOT","NATUSD","A","2006",1.327973,
"AUS","EXCH","TOT","NATUSD","A","2007",1.195073,
"AUS","EXCH","TOT","NATUSD","A","2008",1.192178,
"AUS","EXCH","TOT","NATUSD","A","2009",1.282189,
"AUS","EXCH","TOT","NATUSD","A","2010",1.090159,
"AUS","EXCH","TOT","NATUSD","A","2011",0.969463,
"AUS","EXCH","TOT","NATUSD","A","2012",0.965801,
"AUS","EXCH","TOT","NATUSD","A","2013",1.035843,
"AUS","EXCH","TOT","NATUSD","A","2014",1.109363,
"AUS","EXCH","TOT","NATUSD","A","2015",1.33109,
"AUS","EXCH","TOT","NATUSD","A","2016",1.345214,
"AUS","EXCH","TOT","NATUSD","A","2017",1.304758,
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUS","EXCH","TOT","NATUSD","A","2020",1.453085,
"AUT","EXCH","TOT","NATUSD","A","1990",0.826278,
"AUT","EXCH","TOT","NATUSD","A","1991",0.848522,
"AUT","EXCH","TOT","NATUSD","A","1992",0.798626,
"AUT","EXCH","TOT","NATUSD","A","1993",0.845344,
"AUT","EXCH","TOT","NATUSD","A","1994",0.830056,
"AUT","EXCH","TOT","NATUSD","A","1995",0.732651,
"AUT","EXCH","TOT","NATUSD","A","1996",0.769355,
"AUT","EXCH","TOT","NATUSD","A","1997",0.886917,
"AUT","EXCH","TOT","NATUSD","A","1998",0.899622,
"AUT","EXCH","TOT","NATUSD","A","1999",0.938283,
"AUT","EXCH","TOT","NATUSD","A","2000",1.082705,
"AUT","EXCH","TOT","NATUSD","A","2001",1.116533,
"AUT","EXCH","TOT","NATUSD","A","2002",1.057559,
"AUT","EXCH","TOT","NATUSD","A","2003",0.884048,
"AUT","EXCH","TOT","NATUSD","A","2004",0.803922,
"AUT","EXCH","TOT","NATUSD","A","2005",0.8038,
"AUT","EXCH","TOT","NATUSD","A","2006",0.796433,
"AUT","EXCH","TOT","NATUSD","A","2007",0.729672,
"AUT","EXCH","TOT","NATUSD","A","2008",0.679923,
"AUT","EXCH","TOT","NATUSD","A","2009",0.716958,
"AUT","EXCH","TOT","NATUSD","A","2010",0.754309,
"AUT","EXCH","TOT","NATUSD","A","2011",0.718414,
"AUT","EXCH","TOT","NATUSD","A","2012",0.778338,
"AUT","EXCH","TOT","NATUSD","A","2013",0.752945,
"AUT","EXCH","TOT","NATUSD","A","2014",0.752728,
"AUT","EXCH","TOT","NATUSD","A","2015",0.901296,
"AUT","EXCH","TOT","NATUSD","A","2016",0.903421,
"AUT","EXCH","TOT","NATUSD","A","2017",0.885206,
"AUT","EXCH","TOT","NATUSD","A","2018",0.846773,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"AUT","EXCH","TOT","NATUSD","A","2020",0.875506,
"BEL","EXCH","TOT","NATUSD","A","1990",0.828409,
"BEL","EXCH","TOT","NATUSD","A","1991",0.846513,
"BEL","EXCH","TOT","NATUSD","A","1992",0.796965,
"BEL","EXCH","TOT","NATUSD","A","1993",0.857625,
"BEL","EXCH","TOT","NATUSD","A","1994",0.829365,
"BEL","EXCH","TOT","NATUSD","A","1995",0.730791,
"BEL","EXCH","TOT","NATUSD","A","1996",0.767516,
"BEL","EXCH","TOT","NATUSD","A","1997",0.886812,
"BEL","EXCH","TOT","NATUSD","A","1998",0.89982,
"BEL","EXCH","TOT","NATUSD","A","1999",0.938283,
"BEL","EXCH","TOT","NATUSD","A","2000",1.082705,
"BEL","EXCH","TOT","NATUSD","A","2001",1.116533,
"BEL","EXCH","TOT","NATUSD","A","2002",1.057559,
"BEL","EXCH","TOT","NATUSD","A","2003",0.884048,
"BEL","EXCH","TOT","NATUSD","A","2004",0.803922,
"BEL","EXCH","TOT","NATUSD","A","2005",0.8038,
"BEL","EXCH","TOT","NATUSD","A","2006",0.796433,
"BEL","EXCH","TOT","NATUSD","A","2007",0.729672,
"BEL","EXCH","TOT","NATUSD","A","2008",0.679923,
"BEL","EXCH","TOT","NATUSD","A","2009",0.716958,
"BEL","EXCH","TOT","NATUSD","A","2010",0.754309,
"BEL","EXCH","TOT","NATUSD","A","2011",0.718414,
"BEL","EXCH","TOT","NATUSD","A","2012",0.778338,
"BEL","EXCH","TOT","NATUSD","A","2013",0.752945,
"BEL","EXCH","TOT","NATUSD","A","2014",0.752728,
"BEL","EXCH","TOT","NATUSD","A","2015",0.901296,
"BEL","EXCH","TOT","NATUSD","A","2016",0.903421,
"BEL","EXCH","TOT","NATUSD","A","2017",0.885206,
"BEL","EXCH","TOT","NATUSD","A","2018",0.846773,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2020",0.875506,
"CAN","EXCH","TOT","NATUSD","A","1990",1.166774,
"CAN","EXCH","TOT","NATUSD","A","1991",1.145726,
"CAN","EXCH","TOT","NATUSD","A","1992",1.208723,
"CAN","EXCH","TOT","NATUSD","A","1993",1.290088,
"CAN","EXCH","TOT","NATUSD","A","1994",1.365673,
"CAN","EXCH","TOT","NATUSD","A","1995",1.372445,
"CAN","EXCH","TOT","NATUSD","A","1996",1.363522,
"CAN","EXCH","TOT","NATUSD","A","1997",1.384598,
"CAN","EXCH","TOT","NATUSD","A","1998",1.483505,
"CAN","EXCH","TOT","NATUSD","A","1999",1.485705,
"CAN","EXCH","TOT","NATUSD","A","2000",1.485394,
"CAN","EXCH","TOT","NATUSD","A","2001",1.54884,
"CAN","EXCH","TOT","NATUSD","A","2002",1.570343,
"CAN","EXCH","TOT","NATUSD","A","2003",1.401015,
"CAN","EXCH","TOT","NATUSD","A","2004",1.301282,
"CAN","EXCH","TOT","NATUSD","A","2005",1.211405,
"CAN","EXCH","TOT","NATUSD","A","2006",1.134345,
"CAN","EXCH","TOT","NATUSD","A","2007",1.074046,
"CAN","EXCH","TOT","NATUSD","A","2008",1.067087,
"CAN","EXCH","TOT","NATUSD","A","2009",1.141535,
"CAN","EXCH","TOT","NATUSD","A","2010",1.030113,
"CAN","EXCH","TOT","NATUSD","A","2011",0.989258,
"CAN","EXCH","TOT","NATUSD","A","2012",0.999365,
"CAN","EXCH","TOT","NATUSD","A","2013",1.030137,
"CAN","EXCH","TOT","NATUSD","A","2014",1.104747,
"CAN","EXCH","TOT","NATUSD","A","2015",1.278786,
"CAN","EXCH","TOT","NATUSD","A","2016",1.325615,
"CAN","EXCH","TOT","NATUSD","A","2017",1.297936,
"CAN","EXCH","TOT","NATUSD","A","2018",1.295818,
"CAN","EXCH","TOT","NATUSD","A","2019",1.326793,
"CAN","EXCH","TOT","NATUSD","A","2020",1.341153,
"CZE","EXCH","TOT","NATUSD","A","1990",21.145,
"CZE","EXCH","TOT","NATUSD","A","1991",27.92,
"CZE","EXCH","TOT","NATUSD","A","1992",28.37,
"CZE","EXCH","TOT","NATUSD","A","1993",29.152833,
"CZE","EXCH","TOT","NATUSD","A","1994",28.785083,
"CZE","EXCH","TOT","NATUSD","A","1995",26.540667,
"CZE","EXCH","TOT","NATUSD","A","1996",27.144917,
"CZE","EXCH","TOT","NATUSD","A","1997",31.698417,
"CZE","EXCH","TOT","NATUSD","A","1998",32.281167,
"CZE","EXCH","TOT","NATUSD","A","1999",34.56925,
"CZE","EXCH","TOT","NATUSD","A","2000",38.598417,
"CZE","EXCH","TOT","NATUSD","A","2001",38.035328,
"CZE","EXCH","TOT","NATUSD","A","2002",32.738518,
"CZE","EXCH","TOT","NATUSD","A","2003",28.209,
"CZE","EXCH","TOT","NATUSD","A","2004",25.69975,
"CZE","EXCH","TOT","NATUSD","A","2005",23.957417,
"CZE","EXCH","TOT","NATUSD","A","2006",22.595583,
"CZE","EXCH","TOT","NATUSD","A","2007",20.293667,
"CZE","EXCH","TOT","NATUSD","A","2008",17.071667,
"CZE","EXCH","TOT","NATUSD","A","2009",19.063,
"CZE","EXCH","TOT","NATUSD","A","2010",19.09825,
"CZE","EXCH","TOT","NATUSD","A","2011",17.695917,
"CZE","EXCH","TOT","NATUSD","A","2012",19.5775,
"CZE","EXCH","TOT","NATUSD","A","2013",19.570583,
"CZE","EXCH","TOT","NATUSD","A","2014",20.7575,
"CZE","EXCH","TOT","NATUSD","A","2015",24.59875,
"CZE","EXCH","TOT","NATUSD","A","2016",24.439917,
"CZE","EXCH","TOT","NATUSD","A","2017",23.376333,
"CZE","EXCH","TOT","NATUSD","A","2018",21.729917,
"CZE","EXCH","TOT","NATUSD","A","2019",22.93225,
"CZE","EXCH","TOT","NATUSD","A","2020",23.21025,
"DNK","EXCH","TOT","NATUSD","A","1990",6.188558,
"DNK","EXCH","TOT","NATUSD","A","1991",6.396458,
"DNK","EXCH","TOT","NATUSD","A","1992",6.036133,
"DNK","EXCH","TOT","NATUSD","A","1993",6.483939,
"DNK","EXCH","TOT","NATUSD","A","1994",6.360552,
"DNK","EXCH","TOT","NATUSD","A","1995",5.602367,
"DNK","EXCH","TOT","NATUSD","A","1996",5.798672,
"DNK","EXCH","TOT","NATUSD","A","1997",6.604459,
"DNK","EXCH","TOT","NATUSD","A","1998",6.700827,
"DNK","EXCH","TOT","NATUSD","A","1999",6.97624,
"DNK","EXCH","TOT","NATUSD","A","2000",8.083144,
"DNK","EXCH","TOT","NATUSD","A","2001",8.322817,
"DNK","EXCH","TOT","NATUSD","A","2002",7.894714,
"DNK","EXCH","TOT","NATUSD","A","2003",6.587673,
"DNK","EXCH","TOT","NATUSD","A","2004",5.991057,
"DNK","EXCH","TOT","NATUSD","A","2005",5.99691,
"DNK","EXCH","TOT","NATUSD","A","2006",5.946778,
"DNK","EXCH","TOT","NATUSD","A","2007",5.443701,
"DNK","EXCH","TOT","NATUSD","A","2008",5.098131,
"DNK","EXCH","TOT","NATUSD","A","2009",5.360867,
"DNK","EXCH","TOT","NATUSD","A","2010",5.624075,
"DNK","EXCH","TOT","NATUSD","A","2011",5.368712,
"DNK","EXCH","TOT","NATUSD","A","2012",5.792476,
"DNK","EXCH","TOT","NATUSD","A","2013",5.616312,
"DNK","EXCH","TOT","NATUSD","A","2014",5.612467,
"DNK","EXCH","TOT","NATUSD","A","2015",6.727907,
"DNK","EXCH","TOT","NATUSD","A","2016",6.731718,
"DNK","EXCH","TOT","NATUSD","A","2017",6.602893,
"DNK","EXCH","TOT","NATUSD","A","2018",6.314619,
"DNK","EXCH","TOT","NATUSD","A","2019",6.669447,
"DNK","EXCH","TOT","NATUSD","A","2020",6.542152,
"FIN","EXCH","TOT","NATUSD","A","1990",0.643067,
"FIN","EXCH","TOT","NATUSD","A","1991",0.680148,
"FIN","EXCH","TOT","NATUSD","A","1992",0.753388,
"FIN","EXCH","TOT","NATUSD","A","1993",0.960738,
"FIN","EXCH","TOT","NATUSD","A","1994",0.878532,
"FIN","EXCH","TOT","NATUSD","A","1995",0.734421,
"FIN","EXCH","TOT","NATUSD","A","1996",0.77258,
"FIN","EXCH","TOT","NATUSD","A","1997",0.873137,
"FIN","EXCH","TOT","NATUSD","A","1998",0.898807,
"FIN","EXCH","TOT","NATUSD","A","1999",0.938283,
"FIN","EXCH","TOT","NATUSD","A","2000",1.082705,
"FIN","EXCH","TOT","NATUSD","A","2001",1.116533,
"FIN","EXCH","TOT","NATUSD","A","2002",1.057559,
"FIN","EXCH","TOT","NATUSD","A","2003",0.884048,
"FIN","EXCH","TOT","NATUSD","A","2004",0.803922,
"FIN","EXCH","TOT","NATUSD","A","2005",0.8038,
"FIN","EXCH","TOT","NATUSD","A","2006",0.796433,
"FIN","EXCH","TOT","NATUSD","A","2007",0.729672,
"FIN","EXCH","TOT","NATUSD","A","2008",0.679923,
"FIN","EXCH","TOT","NATUSD","A","2009",0.716958,
"FIN","EXCH","TOT","NATUSD","A","2010",0.754309,
"FIN","EXCH","TOT","NATUSD","A","2011",0.718414,
"FIN","EXCH","TOT","NATUSD","A","2012",0.778338,
"FIN","EXCH","TOT","NATUSD","A","2013",0.752945,
"FIN","EXCH","TOT","NATUSD","A","2014",0.752728,
"FIN","EXCH","TOT","NATUSD","A","2015",0.901296,
"FIN","EXCH","TOT","NATUSD","A","2016",0.903421,
"FIN","EXCH","TOT","NATUSD","A","2017",0.885206,
"FIN","EXCH","TOT","NATUSD","A","2018",0.846773,
"FIN","EXCH","TOT","NATUSD","A","2019",0.893276,
"FIN","EXCH","TOT","NATUSD","A","2020",0.875506,
"FRA","EXCH","TOT","NATUSD","A","1990",0.830127,
"FRA","EXCH","TOT","NATUSD","A","1991",0.860135,
"FRA","EXCH","TOT","NATUSD","A","1992",0.807037,
"FRA","EXCH","TOT","NATUSD","A","1993",0.863354,
"FRA","EXCH","TOT","NATUSD","A","1994",0.846404,
"FRA","EXCH","TOT","NATUSD","A","1995",0.760947,
"FRA","EXCH","TOT","NATUSD","A","1996",0.779856,
"FRA","EXCH","TOT","NATUSD","A","1997",0.889798,
"FRA","EXCH","TOT","NATUSD","A","1998",0.899375,
"FRA","EXCH","TOT","NATUSD","A","1999",0.938283,
"FRA","EXCH","TOT","NATUSD","A","2000",1.082705,
"FRA","EXCH","TOT","NATUSD","A","2001",1.116533,
"FRA","EXCH","TOT","NATUSD","A","2002",1.057559,
"FRA","EXCH","TOT","NATUSD","A","2003",0.884048,
"FRA","EXCH","TOT","NATUSD","A","2004",0.803922,
"FRA","EXCH","TOT","NATUSD","A","2005",0.8038,
"FRA","EXCH","TOT","NATUSD","A","2006",0.796433,
"FRA","EXCH","TOT","NATUSD","A","2007",0.729672,
"FRA","EXCH","TOT","NATUSD","A","2008",0.679923,
"FRA","EXCH","TOT","NATUSD","A","2009",0.716958,
"FRA","EXCH","TOT","NATUSD","A","2010",0.754309,
"FRA","EXCH","TOT","NATUSD","A","2011",0.718414,
"FRA","EXCH","TOT","NATUSD","A","2012",0.778338,
"FRA","EXCH","TOT","NATUSD","A","2013",0.752945,
"FRA","EXCH","TOT","NATUSD","A","2014",0.752728,
"FRA","EXCH","TOT","NATUSD","A","2015",0.901296,
"FRA","EXCH","TOT","NATUSD","A","2016",0.903421,
"FRA","EXCH","TOT","NATUSD","A","2017",0.885206,
"FRA","EXCH","TOT","NATUSD","A","2018",0.846773,
"FRA","EXCH","TOT","NATUSD","A","2019",0.893276,
"FRA","EXCH","TOT","NATUSD","A","2020",0.875506,
"DEU","EXCH","TOT","NATUSD","A","1990",0.826111,
"DEU","EXCH","TOT","NATUSD","A","1991",0.84851,
"DEU","EXCH","TOT","NATUSD","A","1992",0.798459,
"DEU","EXCH","TOT","NATUSD","A","1993",0.84533,
"DEU","EXCH","TOT","NATUSD","A","1994",0.829721,
"DEU","EXCH","TOT","NATUSD","A","1995",0.732749,
"DEU","EXCH","TOT","NATUSD","A","1996",0.769379,
"DEU","EXCH","TOT","NATUSD","A","1997",0.886609,
"DEU","EXCH","TOT","NATUSD","A","1998",0.899704,
"DEU","EXCH","TOT","NATUSD","A","1999",0.938283,
"DEU","EXCH","TOT","NATUSD","A","2000",1.082705,
"DEU","EXCH","TOT","NATUSD","A","2001",1.116533,
"DEU","EXCH","TOT","NATUSD","A","2002",1.057559,
"DEU","EXCH","TOT","NATUSD","A","2003",0.884048,
"DEU","EXCH","TOT","NATUSD","A","2004",0.803922,
"DEU","EXCH","TOT","NATUSD","A","2005",0.8038,
"DEU","EXCH","TOT","NATUSD","A","2006",0.796433,
"DEU","EXCH","TOT","NATUSD","A","2007",0.729672,
"DEU","EXCH","TOT","NATUSD","A","2008",0.679923,
"DEU","EXCH","TOT","NATUSD","A","2009",0.716958,
"DEU","EXCH","TOT","NATUSD","A","2010",0.754309,
"DEU","EXCH","TOT","NATUSD","A","2011",0.718414,
"DEU","EXCH","TOT","NATUSD","A","2012",0.778338,
"DEU","EXCH","TOT","NATUSD","A","2013",0.752945,
"DEU","EXCH","TOT","NATUSD","A","2014",0.752728,
"DEU","EXCH","TOT","NATUSD","A","2015",0.901296,
"DEU","EXCH","TOT","NATUSD","A","2016",0.903421,
"DEU","EXCH","TOT","NATUSD","A","2017",0.885206,
"DEU","EXCH","TOT","NATUSD","A","2018",0.846773,
"DEU","EXCH","TOT","NATUSD","A","2019",0.893276,
"DEU","EXCH","TOT","NATUSD","A","2020",0.875506,
"GRC","EXCH","TOT","NATUSD","A","1990",0.465191,
"GRC","EXCH","TOT","NATUSD","A","1991",0.534898,
"GRC","EXCH","TOT","NATUSD","A","1992",0.559426,
"GRC","EXCH","TOT","NATUSD","A","1993",0.67278,
"GRC","EXCH","TOT","NATUSD","A","1994",0.711967,
"GRC","EXCH","TOT","NATUSD","A","1995",0.679861,
"GRC","EXCH","TOT","NATUSD","A","1996",0.706417,
"GRC","EXCH","TOT","NATUSD","A","1997",0.801344,
"GRC","EXCH","TOT","NATUSD","A","1998",0.86729,
"GRC","EXCH","TOT","NATUSD","A","1999",0.896982,
"GRC","EXCH","TOT","NATUSD","A","2000",1.072336,
"GRC","EXCH","TOT","NATUSD","A","2001",1.116533,
"GRC","EXCH","TOT","NATUSD","A","2002",1.057559,
"GRC","EXCH","TOT","NATUSD","A","2003",0.884048,
"GRC","EXCH","TOT","NATUSD","A","2004",0.803922,
"GRC","EXCH","TOT","NATUSD","A","2005",0.8038,
"GRC","EXCH","TOT","NATUSD","A","2006",0.796433,
"GRC","EXCH","TOT","NATUSD","A","2007",0.729672,
"GRC","EXCH","TOT","NATUSD","A","2008",0.679923,
"GRC","EXCH","TOT","NATUSD","A","2009",0.716958,
"GRC","EXCH","TOT","NATUSD","A","2010",0.754309,
"GRC","EXCH","TOT","NATUSD","A","2011",0.718414,
"GRC","EXCH","TOT","NATUSD","A","2012",0.778338,
"GRC","EXCH","TOT","NATUSD","A","2013",0.752945,
"GRC","EXCH","TOT","NATUSD","A","2014",0.752728,
"GRC","EXCH","TOT","NATUSD","A","2015",0.901296,
"GRC","EXCH","TOT","NATUSD","A","2016",0.903421,
"GRC","EXCH","TOT","NATUSD","A","2017",0.885206,
"GRC","EXCH","TOT","NATUSD","A","2018",0.846773,
"GRC","EXCH","TOT","NATUSD","A","2019",0.893276,
"GRC","EXCH","TOT","NATUSD","A","2020",0.875506,
"HUN","EXCH","TOT","NATUSD","A","1990",63.205867,
"HUN","EXCH","TOT","NATUSD","A","1991",74.735383,
"HUN","EXCH","TOT","NATUSD","A","1992",78.988392,
"HUN","EXCH","TOT","NATUSD","A","1993",91.933183,
"HUN","EXCH","TOT","NATUSD","A","1994",105.160458,
"HUN","EXCH","TOT","NATUSD","A","1995",125.681425,
"HUN","EXCH","TOT","NATUSD","A","1996",152.646667,
"HUN","EXCH","TOT","NATUSD","A","1997",186.789167,
"HUN","EXCH","TOT","NATUSD","A","1998",214.401667,
"HUN","EXCH","TOT","NATUSD","A","1999",237.145833,
"HUN","EXCH","TOT","NATUSD","A","2000",282.179167,
"HUN","EXCH","TOT","NATUSD","A","2001",286.49,
"HUN","EXCH","TOT","NATUSD","A","2002",257.886667,
"HUN","EXCH","TOT","NATUSD","A","2003",224.306667,
"HUN","EXCH","TOT","NATUSD","A","2004",202.745833,
"HUN","EXCH","TOT","NATUSD","A","2005",199.5825,
"HUN","EXCH","TOT","NATUSD","A","2006",210.39,
"HUN","EXCH","TOT","NATUSD","A","2007",183.625833,
"HUN","EXCH","TOT","NATUSD","A","2008",172.113333,
"HUN","EXCH","TOT","NATUSD","A","2009",202.341667,
"HUN","EXCH","TOT","NATUSD","A","2010",207.944167,
"HUN","EXCH","TOT","NATUSD","A","2011",201.055,
"HUN","EXCH","TOT","NATUSD","A","2012",225.104167,
"HUN","EXCH","TOT","NATUSD","A","2013",223.695,
"HUN","EXCH","TOT","NATUSD","A","2014",232.601667,
"HUN","EXCH","TOT","NATUSD","A","2015",279.3325,
"HUN","EXCH","TOT","NATUSD","A","2016",281.523333,
"HUN","EXCH","TOT","NATUSD","A","2017",274.433333,
"HUN","EXCH","TOT","NATUSD","A","2018",270.211667,
"HUN","EXCH","TOT","NATUSD","A","2019",290.66,
"HUN","EXCH","TOT","NATUSD","A","2020",307.996667,
"ISL","EXCH","TOT","NATUSD","A","1990",58.283775,
"ISL","EXCH","TOT","NATUSD","A","1991",58.996342,
"ISL","EXCH","TOT","NATUSD","A","1992",57.545933,
"ISL","EXCH","TOT","NATUSD","A","1993",67.603182,
"ISL","EXCH","TOT","NATUSD","A","1994",69.944378,
"ISL","EXCH","TOT","NATUSD","A","1995",64.691667,
"ISL","EXCH","TOT","NATUSD","A","1996",66.5,
"ISL","EXCH","TOT","NATUSD","A","1997",70.904291,
"ISL","EXCH","TOT","NATUSD","A","1998",70.958333,
"ISL","EXCH","TOT","NATUSD","A","1999",72.335293,
"ISL","EXCH","TOT","NATUSD","A","2000",78.615947,
"ISL","EXCH","TOT","NATUSD","A","2001",97.424603,
"ISL","EXCH","TOT","NATUSD","A","2002",91.661667,
"ISL","EXCH","TOT","NATUSD","A","2003",76.708983,
"ISL","EXCH","TOT","NATUSD","A","2004",70.191667,
"ISL","EXCH","TOT","NATUSD","A","2005",62.981667,
"ISL","EXCH","TOT","NATUSD","A","2006",70.18,
"ISL","EXCH","TOT","NATUSD","A","2007",64.055,
"ISL","EXCH","TOT","NATUSD","A","2008",87.947917,
"ISL","EXCH","TOT","NATUSD","A","2009",123.638381,
"ISL","EXCH","TOT","NATUSD","A","2010",122.241811,
"ISL","EXCH","TOT","NATUSD","A","2011",115.95404,
